"イキタイ","サ活","サウナ飯","ターゲット","市区町村","施設名","施設タイプ","住所","TEL","HP","定休日","営業時間","料金","URL","CREATE_AT"
"264","1915","50","対象：男女","埼玉県 和光市","極楽湯 和光店","温浴施設（スーパー銭湯・サウナ・スパ施設）","埼玉県 和光市 白子1-7","048-451-4126","http://www.gokurakuyu.ne.jp/gokurakuyu/tempo/wako/","原則、年中無休　※年に数回、設備点検で休館日あり","月曜日: 9時00分～2時00分\n火曜日: 9時00分～2時00分\n水曜日: 9時00分～2時00分\n木曜日: 9時00分～2時00分\n金曜日: 9時00分～2時00分\n土曜日: 7時00分～2時00分\n日曜日: 7時00分～2時00分","おとな（中学生以上 ）\n平日\n820円\n\n土日祝\n970円\n\n回数券\n10枚綴り・6,900円（土日祝も利用可）\n\n※価格はすべて税込表記となっております。\n\n極楽湯和光店　クーポン　でググると\n画面見せるだけで６７０円で入れるサイトが出て来ます。","https://sauna-ikitai.com/saunas/1606","2022/08/09 22:54:47"
"264","1627","60","対象：男女","長野県 長野市","川中島温泉テルメDOME","温浴施設（スーパー銭湯・サウナ・スパ施設）","長野県 長野市 川中島町1780-1","026-214-6660","http://www.kawanakajimaonsen.com/","年中無休\n（メンテナンス休業有り）","月曜日: 10時00分～0時00分\n火曜日: 10時00分～0時00分\n水曜日: 10時00分～0時00分\n木曜日: 10時00分～0時00分\n金曜日: 10時00分～0時00分\n土曜日: 10時00分～0時00分\n日曜日: 10時00分～0時00分","大人 730円（土日祝日780)\n学生（中学生～大学生） 520円（身分証明書提示の必要あり　）\n小人 360円（3歳以下無料）\n入浴回数券（10枚） 6,700円 得!\nLINE友達登録で初回のみ半額","https://sauna-ikitai.com/saunas/4471","2022/08/09 22:54:50"
"264","595","15","対象：男女","東京都 墨田区","松の湯","銭湯（公衆浴場）","東京都 墨田区 緑3-4-6","03-3846-8988","http://www.matsuno-yu.com/","-","月曜日: 15時00分～0時00分\n火曜日: 15時00分～0時00分\n水曜日: 15時00分～0時00分\n木曜日: 15時00分～0時00分\n金曜日: 15時00分～0時00分\n土曜日: 15時00分～0時00分\n日曜日: 8時00分～13時00分, 15時00分～0時00分","480円（スチームサウナ込）\nPaypay利用可能。\naupay利用可能。\nレンタルタオル小10円バスタオル100円\n\n営業情報はTwitter( https://twitter.com/sentoyoitoko )でも発信されています。","https://sauna-ikitai.com/saunas/5010","2022/08/09 22:54:54"
"264","306","18","対象：男女","東京都 葛飾区","金町湯","銭湯（公衆浴場）","東京都 葛飾区 金町5-14-9","03-6326-3805","https://www.instagram.com/kanamachiyu1943/","毎週木曜日\n第4金曜日","月曜日: 15時30分～22時30分\n火曜日: 15時30分～22時30分\n水曜日: 15時30分～22時30分\n木曜日: 定休日\n金曜日: 15時30分～22時30分\n土曜日: 15時30分～22時30分\n日曜日: 15時30分～22時30分","ととのい(入浴＋サウナ)\n800円\n手ぶらととのい(入浴＋サウナ＋手ぶらセット)\n950円\n※手ぶらセットも含め貸しタオルはなし","https://sauna-ikitai.com/saunas/7151","2022/08/09 22:54:58"
"264","75","5","対象：男女","群馬県 前橋市","SHIROIYA HOTEL 白井屋ホテル","ホテル・旅館","群馬県 前橋市 本町2-2-15","027-231-4618","https://www.shiroiya.com/","年中無休","◇ミストサウナ・フィンランドサウナ（ドライサウナ）\n16:00 - 17:20 / 18:00 - 19:20 / 20：00 - 21：20 / 8：00 - 9：20\n※外来の方のご利用も大歓迎です","◇ミストサウナ・フィンランドサウナ\n料金：¥5,000 / 1名\n人数：1組最大4名\n時間：80分制","https://sauna-ikitai.com/saunas/9995","2022/08/09 22:55:01"
"263","1393","79","対象：男女","東京都 小平市","おふろの王様 花小金井店","温浴施設（スーパー銭湯・サウナ・スパ施設）","東京都 小平市 花小金井南町3-9-10","042-452-2603","http://www.ousama2603.com/shop/hanakoganei/index.html","-","月曜日: 9時00分～0時00分\n火曜日: 9時00分～0時00分\n水曜日: 9時00分～0時00分\n木曜日: 9時00分～0時00分\n金曜日: 9時00分～0時00分\n土曜日: 9時00分～0時00分\n日曜日: 9時00分～0時00分","【平日】\n会員:880円 一般:960円\n\n【土・日・祝祭日】\n平日の値段+200円","https://sauna-ikitai.com/saunas/1704","2022/08/09 22:55:04"
"263","1273","33","対象：男女","千葉県 千葉市","湯の郷ほのか 蘇我店","温浴施設（スーパー銭湯・サウナ・スパ施設）","千葉県 千葉市 中央区川崎町51-1 フェスティバルウォーク蘇我","043-265-1726","http://www.yudokoro-honoka.jp/soga/","-","月曜日: 10時00分～9時00分\n火曜日: 10時00分～9時00分\n水曜日: 10時00分～9時00分\n木曜日: 10時00分～9時00分\n金曜日: 10時00分～9時00分\n土曜日: 10時00分～9時00分\n日曜日: 10時00分～9時00分","平日１４００円\n土日１６００円\n岩盤浴用大判タオル１５０円\n\n早朝７００円\n\nSuica、エディ、paypay使えます\n\n料金には湯着、タオルセット（バスタオル、フェイスタオル）がついてます","https://sauna-ikitai.com/saunas/2047","2022/08/09 22:55:07"
"263","1516","149","対象：男女","福岡県 福岡市","天然温泉 天神ゆの華","温浴施設（スーパー銭湯・サウナ・スパ施設）","福岡県 福岡市 中央区長浜1-4-55","092-733-1126","http://www.tenjin-yunohana.jp/","無し\n※年に数回臨時休業あり","【営業時間】\n＜平日＞10:00～27:00（最終受付26:30）\n＜土日祝＞8:00～27:00（最終受付26:30）\n\n【お食事処】\nお食事\n＜平日＞10:30〜25:30\n＜土日祝＞9:00～25:30\nドリンク\n＜平日＞10:00～26:30\n＜土日祝＞8:00～26:30","大人（平日、22時迄の入館） 850円\n大人（平日、22時以降の入館） 900円\n大人（土日祝、22時迄の入館） 950円\n大人（土日祝、22時以降の入館） 1,000円\n小人 420円\n\n毎週火曜日と木曜日（祝日を除く）は\n10時～16時まで入館で600円\n\n毎週金曜日(祝日を除く)レディースデー\n入館料750円\n\nバスタオル190円\nフェイスタオル170円","https://sauna-ikitai.com/saunas/3762","2022/08/09 22:55:10"
"263","31","8","対象：男女","富山県 南砺市","レヴォ Cuisine régionale L'évo","ホテル・旅館","富山県 南砺市 利賀村大勘場田島100","0763-68-2115","http://levo.toyama.jp/","水曜日\n［8月に夏季休業あり］","チェックイン 15:00\nチェックアウト 11:00","1泊44,000円〜\n食事別料金","https://sauna-ikitai.com/saunas/10169","2022/08/09 22:55:14"
"261","1265","89","対象：男女","静岡県 浜松市","湯風景しおり","温浴施設（スーパー銭湯・サウナ・スパ施設）","静岡県 浜松市 中区高林1-13-13","053-478-2626","http://www.yufukeishiori.com/","年中無休\n（設備点検のため年数回の休館日あり）","月曜日: 10時00分～0時00分\n火曜日: 10時00分～0時00分\n水曜日: 10時00分～0時00分\n木曜日: 10時00分～0時00分\n金曜日: 10時00分～0時00分\n土曜日: 8時00分～0時00分\n日曜日: 8時00分～0時00分","大人（中学生以上） 750円\n小人（3歳～小学生） 300円\n幼児（0～2歳） 100円","https://sauna-ikitai.com/saunas/3048","2022/08/09 22:55:16"
"261","601","8","対象：男女","大阪府 大阪市","福徳温泉","銭湯（公衆浴場）","大阪府 大阪市 生野区巽南2-8-2","06-6758-3471","http://www.e-sento.net/hukutoku/","月曜日","月曜日: 定休日\n火曜日: 15時00分～23時00分\n水曜日: 15時00分～23時00分\n木曜日: 15時00分～23時00分\n金曜日: 15時00分～23時00分\n土曜日: 15時00分～23時00分\n日曜日: 15時00分～23時00分","入泉料：490円　サウナ：120円","https://sauna-ikitai.com/saunas/3295","2022/08/09 22:55:19"
"260","1403","32","対象：男女","東京都 昭島市","昭島温泉 湯楽の里","温浴施設（スーパー銭湯・サウナ・スパ施設）","東京都 昭島市 美堀町3-14-10","042-500-2615","http://www.yurakirari.com/yura/akishima/","-","月曜日: 9時00分～1時00分\n火曜日: 9時00分～1時00分\n水曜日: 9時00分～1時00分\n木曜日: 9時00分～1時00分\n金曜日: 9時00分～1時00分\n土曜日: 9時00分～1時00分\n日曜日: 9時00分～1時00分","2022年4月1日より料金改定\n併せて会員料金(得々会員証カード)の廃止\n■平日\n大人　入館料:800円　(中学生以上)\nこども　〃 :400円　(4歳〜小学生)\n■土・休日・特定日\n大人　入館料:920円　(中学生以上)\nこども　〃 :450円　(4歳〜小学生)\n※3歳以下無料\n■回数券(10枚綴り):7,300円\n\n※下駄箱、脱衣所ロッカーとも¥100返却タイプ\nどちらも近くに両替機の設置あり。","https://sauna-ikitai.com/saunas/1703","2022/08/09 22:55:22"
"259","602","1","対象：男女","埼玉県 春日部市","かすかべ湯元温泉","温浴施設（スーパー銭湯・サウナ・スパ施設）","埼玉県 春日部市 下大増新田66-1","048-733-1126","http://www.kasukabeonsen.com/","年2回メンテナンス休館","令和3年8月30日まで10:00～20:00\n（日曜・祝日のみ朝9:00より営業）","平日\n10:00～19:00 大人 1,100円 子供 550円\n19:00～22:00 大人 990円 子供 440円\n土日祝\n10:00～19:00 大人 1,540円 子供 550円\n19:00～22:00 大人 1,100円 子供 440円\n館内着 165円（JAF会員提示の場合は館内着無料）","https://sauna-ikitai.com/saunas/1454","2022/08/09 22:55:25"
"259","551","30","対象：男女","神奈川県 相模原市","さがみ湖温泉 うるり","温浴施設（スーパー銭湯・サウナ・スパ施設）","神奈川県 相模原市 緑区若柳1634 さがみ湖リゾートプレジャーフォレスト","042-685-2641","http://www.sagamiko-resort.jp/ururi/","-","月曜日: 11時00分～21時00分\n火曜日: 11時00分～21時00分\n水曜日: 11時00分～21時00分\n木曜日: 11時00分～21時00分\n金曜日: 11時00分～21時00分\n土曜日: 10時00分～22時00分\n日曜日: 10時00分～22時00分","平日900円\n土日祝日 繁忙期1,100円\n※岩盤浴は別途料金。","https://sauna-ikitai.com/saunas/2035","2022/08/09 22:55:28"
"259","1316","124","対象：男女","岐阜県 岐阜市","アクアリゾート 岐阜ふじの湯","温浴施設（スーパー銭湯・サウナ・スパ施設）","岐阜県 岐阜市 正木1235","058-297-4126","http://gifu-fujinoyu.jp/","-","月曜日: 10時00分～0時00分\n火曜日: 10時00分～0時00分\n水曜日: 10時00分～0時00分\n木曜日: 10時00分～0時00分\n金曜日: 10時00分～0時00分\n土曜日: 6時00分～0時00分\n日曜日: 6時00分～0時00分\n祝日: 10時00分～0時00分","大人入浴料金\n平日: 650円\n土日祝: 700円\n朝風呂(土日のみ。6時00分〜9時00分): 600円\n深夜風呂(23時00分〜0時00分)平日: 600円\n深夜風呂(23時00分〜0時00分)土日祝: 650円\n入浴回数券(10枚綴): 6000円","https://sauna-ikitai.com/saunas/2247","2022/08/09 22:55:31"
"258","806","42","対象：男女","埼玉県 さいたま市","さいたま清河寺温泉","温浴施設（スーパー銭湯・サウナ・スパ施設）","埼玉県 さいたま市 西区清河寺683-4","048-625-7373","http://seiganji-onsen.com/","-","10時00分～24時00分","平日 大人 720円\n土・日・祝 大人　820円\n(R1.10.1から各20円値上げ)","https://sauna-ikitai.com/saunas/1466","2022/08/09 22:55:33"
"257","866","18","対象：男女","東京都 練馬区","辰巳湯","銭湯（公衆浴場）","東京都 練馬区 桜台4-42-2 辰巳ビル 1F","03-3994-2680","http://www.tatsumiyu-nerima.com/","水曜日","月曜日: 14時30分～0時30分\n火曜日: 14時30分～0時30分\n水曜日: 定休日\n木曜日: 14時30分～0時30分\n金曜日: 14時30分～0時30分\n土曜日: 14時30分～0時30分\n日曜日: 14時30分～0時30分","サウナ＋300円","https://sauna-ikitai.com/saunas/4666","2022/08/09 22:55:38"
"256","1906","17","対象：男女","東京都 渋谷区","ジェクサー・フィットネス&スパ24 新宿","スポーツジム","東京都 渋谷区 代々木2-1","03-5333-2101","http://www.jexer.jp/fitness/shinjuku/index.html","毎月3日、11日、19日、27日","月曜日: 7時00分～23時30分\n火曜日: 7時00分～23時30分\n水曜日: 7時00分～23時30分\n木曜日: 7時00分～23時30分\n金曜日: 7時00分～23時30分\n土曜日: 8時00分～21時00分\n日曜日: 8時00分～20時00分","会員制\n※各企業の福利厚生プログラム（例：えらべる倶楽部）があると、1回1620円等で利用できる場合あり","https://sauna-ikitai.com/saunas/1846","2022/08/09 22:55:40"
"256","1779","18","男性専用","東京都 台東区","120℃浅草橋NETU","温浴施設（スーパー銭湯・サウナ・スパ施設）","東京都 台東区 柳橋1-13-4 2F","080-3488-3719","https://peraichi.com/landing_pages/view/hg8c3","-","月曜日: 24 時間営業\n火曜日: 24 時間営業\n水曜日: 24 時間営業\n木曜日: 24 時間営業\n金曜日: 24 時間営業\n土曜日: 24 時間営業\n日曜日: 24 時間営業","会員制サウナ月額5,980円（税別）","https://sauna-ikitai.com/saunas/11746","2022/08/09 22:55:43"
"255","1412","21","男性専用","東京都 渋谷区","カプセルホテル渋谷","温浴施設（スーパー銭湯・サウナ・スパ施設）","東京都 渋谷区 道玄坂1-19-14","03-3464-1777","http://www.capsulehotel-shibuya.jp/?viewmode=pc","日曜日（日曜日11時チェックアウト後、月曜日15時まで）","15時～翌11時\n※11時～15時は館内清掃で利用不可","入浴コース 1時間 　1,300円\nお昼寝コース 3時間 2,000円\n早朝コース　6時間　2,000円\n宿泊スタンダード　3,900円\n宿泊デラックス　　4,500円","https://sauna-ikitai.com/saunas/1920","2022/08/09 22:55:46"
"255","1165","157","対象：男女","福岡県 糸島市","伊都の湯どころ","温浴施設（スーパー銭湯・サウナ・スパ施設）","福岡県 糸島市 泊765 元気くらぶ内","092-331-1000","http://genki-ito.jp/","月に何日か設定あり","月曜日: 10時00分～22時30分\n火曜日: 10時00分～22時30分\n水曜日: 10時00分～22時30分\n木曜日: 10時00分～22時30分\n金曜日: 10時00分～22時30分\n土曜日: 10時00分～22時30分\n日曜日: 10時00分～22時30分","平日は680円、休日は780円です。\n回数券6800円/11回(休日利用時は現金で100円プラス)","https://sauna-ikitai.com/saunas/3777","2022/08/09 22:55:48"
"255","700","8","対象：男女","神奈川県 横浜市","旭湯","銭湯（公衆浴場）","神奈川県 横浜市 港北区日吉2-15-31","045-563-1049","http://k-o-i.jp/koten/asahiyu-1.html","木曜日","月曜日: 14時30分～23時00分\n火曜日: 14時30分～23時00分\n水曜日: 14時30分～23時00分\n木曜日: 定休日\n金曜日: 14時30分～23時00分\n土曜日: 14時30分～23時00分\n日曜日: 14時30分～23時00分","神奈川県入浴料金(令和2年9月1日より)\n\n大人 12歳以上 490円\n中人 6歳以上12歳未満 200円\n小人 6歳未満（未就学児） 100円\n\nサウナ料金\n＋250円(大タオル付、希望者には小タオルも無料で付きます)","https://sauna-ikitai.com/saunas/4579","2022/08/09 22:55:51"
"254","1870","87","対象：男女","山梨県 中央市","湯殿館","温浴施設（スーパー銭湯・サウナ・スパ施設）","山梨県 中央市 若宮33-1","055-274-2626","http://www.yudenkan.com/","-","月曜日: 10時00分～22時00分\n火曜日: 10時00分～22時00分\n水曜日: 10時00分～22時00分\n木曜日: 10時00分～22時00分\n金曜日: 10時00分～22時00分\n土曜日: 10時00分～22時00分\n日曜日: 10時00分～22時00分","タオル、バスタオル付き","https://sauna-ikitai.com/saunas/2017","2022/08/09 22:55:55"
"252","844","55","対象：男女","静岡県 静岡市","おふろcafe bijinyu","温浴施設（スーパー銭湯・サウナ・スパ施設）","静岡県 静岡市 葵区籠上15-15","054-252-1126","https://ofurocafe-bijinyu.com/","第3火曜日","月曜日: 10時00分～9時00分\n火曜日: 10時00分～9時00分\n水曜日: 10時00分～9時00分\n木曜日: 10時00分～9時00分\n金曜日: 10時00分～9時00分\n土曜日: 10時00分～9時00分\n日曜日: 10時00分～9時00分","フリータイム一般1,408円（税込）\n会員1,210円（税込）","https://sauna-ikitai.com/saunas/2728","2022/08/09 22:55:57"
"252","842","94","男性専用","大阪府 大阪市","サウナグランシャトー","温浴施設（スーパー銭湯・サウナ・スパ施設）","大阪府 大阪市 都島区東野田町3-9-3 グランシャトービル5F","06-6351-0762","http://www.kyo-bashi.com/sa.html","大晦日と元旦","月曜日: 9時00分～23時00分\n火曜日: 9時00分～23時00分\n水曜日: 9時00分～23時00分\n木曜日: 9時00分～23時00分\n金曜日: 9時00分～23時00分\n土曜日: 9時00分～23時00分\n日曜日: 9時00分～22時30分","50分コース（月～金)　770円\n100分コース　1540円\nフリータイムコース　2310円","https://sauna-ikitai.com/saunas/3124","2022/08/09 22:56:00"
"250","1138","48","対象：男女","千葉県 松戸市","笑がおの湯 松戸矢切店","温浴施設（スーパー銭湯・サウナ・スパ施設）","千葉県 松戸市 下矢切115","047-312-4126","http://www.com-keisei.co.jp/egaonoyu-yagiri/index.html","年中無休","月曜日: 10時00分～0時00分\n火曜日: 10時00分～0時00分\n水曜日: 10時00分～0時00分\n木曜日: 10時00分～0時00分\n金曜日: 10時00分～0時00分\n土曜日: 10時00分～0時00分\n日曜日: 10時00分～0時00分","平日：大人740円(子供330円)\n土日：大人820円(子供360円)\n\nレンタルタオルは小タオル100円、バスタオル150円。入館料、食事処にPASMOの使える券売機があります。\n\n歯ブラシは50円使い切りタイプ有。券売機にて買えます。\n\n化粧落としは1回分パウチに入ったリキッドタイプが受付に50円で提供されています。浴槽の方にはないので、必要なら予め買ってから。","https://sauna-ikitai.com/saunas/4762","2022/08/09 22:56:05"
"250","1068","66","対象：男女","東京都 文京区","春日の湯 ドーミーイン後楽園","ホテル・旅館","東京都 文京区 本郷4-23-14","03-3868-5489","https://www.hotespa.net/hotels/korakuen/","年中無休","◇大浴場営業時間\n15：00～翌10：00\n\n◇サウナ営業時間\n深夜1：00～翌5：00の間は休止","デイユースプラン2名 5,000円～\nキャビンデイユース（5時～11時◆最大6時間）朝食付き 2700円〜\nキャビンデイユース（15時～23時◆最大8時間）2700円〜\n\n「habitat」アプリを通じて同ホテルの「サウナだけプラン」を利用可能\n利用可能時間帯は5時〜10時と、15時〜20時（最終入場は19時）\n\nチケットは2種類\n・1回だけ利用できる「1回利用チケット」は1800円\n・月に4回まで利用できる「月額サブスクリプションプラン」は6800円\n（いずれもリネン代込み）","https://sauna-ikitai.com/saunas/6007","2022/08/09 22:56:08"
"249","1021","111","対象：男女","福井県 福井市","ゆけむり温泉 ゆ〜遊","温浴施設（スーパー銭湯・サウナ・スパ施設）","福井県 福井市 渕2-1401","0776-34-7770","http://onsen-yuyu.com/","なし","24 時間営業\n※入浴可能時間　6：00～24：00","ポイントカード会員 ¥1,100・もしくは会員優待価格\n大人（中学生以上） ¥1,200\n小人（小学生） ¥600\n幼児（小学生未満） 無料\n\n￥600で朝風呂。6:00-10:00まで利用可。\n12:00までに入れば¥880で24:00まで利用可。\n0：00からは別途深夜料金¥1,100。","https://sauna-ikitai.com/saunas/1410","2022/08/09 22:56:11"
"249","499","23","対象：男女","東京都 調布市","深大寺天然温泉「湯守の里」","温浴施設（スーパー銭湯・サウナ・スパ施設）","東京都 調布市 深大寺元町2-12-2","042-499-7777","http://www.yumorinosato.com/","年中無休","10：00～22：00","●月～金：一般1000円、カラスの行水800円、ナイトカラス500円\n●土日祝繁忙期：プラス100円\n●岩盤浴：別途800円\n●タオルセット：別途250円\n●館内着：別途250円\n※カラスの行水：60分以内利用\n※ナイトカラス：21時以降入館\n※全て税込料金\n※小人：HP参照","https://sauna-ikitai.com/saunas/5172","2022/08/09 22:56:14"
"249","1084","71","対象：男女","富山県 小矢部市","天然温泉 風の森 北陸小矢部店","温浴施設（スーパー銭湯・サウナ・スパ施設）","富山県 小矢部市 西中野1086-1","0766-92-2626","http://www.tennenonsen-kazenomori.com/","年中無休（メンテナンス休業あり）","10:00～22:00\n（最終受付21:00まで）","【くつろぎ入浴プラン】\nフェイスタオルバスタオル館内着\n一般大人1,100円、一般お子様770円\n【日帰り入浴プラン】\nフェイスタオルバスタオル付\n一般大人900円、一般お子様570円\n【通常入浴料】\n一般大人730円、一般お子様400円\n一般幼児 150円\n※お子様は4歳から小学生、幼児は3歳以下\n※2022.5.1改定 平日料金\n※土曜休日は幼児入浴料を除き、全ての料金が５０円増し","https://sauna-ikitai.com/saunas/5947","2022/08/09 22:56:16"
"247","1372","40","対象：男女","埼玉県 草加市","湯屋処まつばら","温浴施設（スーパー銭湯・サウナ・スパ施設）","埼玉県 草加市 栄町2-3-16","048-930-5526","http://www.tobufoods.co.jp/spa/matubara/","メンテナンス休館有り\nHP要確認","月曜日: 8時00分～0時00分\n火曜日: 8時00分～0時00分\n水曜日: 8時00分～0時00分\n木曜日: 8時00分～0時00分\n金曜日: 8時00分～0時00分\n土曜日: 8時00分～0時00分\n日曜日: 8時00分～0時00分\n\n※閉館22時、最終入館21時（2022.1.27時点）","平日600円\n土日祝日700円\n※2021年4月より料金改定","https://sauna-ikitai.com/saunas/1526","2022/08/09 22:56:20"
"247","952","35","対象：男女","神奈川県 川崎市","ホテル梶ヶ谷プラザ","ホテル・旅館","神奈川県 川崎市 高津区下作延3-14-25","044-861-2111","https://www.kazigaya.com/","なし","11:00～24:00（23:30 最終入場）","日帰り入浴料金\n11:00〜20:59 　2,000円\n21:00〜21:59 　1,500円\n22:00〜23:30 　1,000円\nタオルセット・館内着込み\n※宿泊者は無料で利用可\n※土日はサービスタイム停止中、時間関係なく2,000円(2022/6/5時点)","https://sauna-ikitai.com/saunas/4386","2022/08/09 22:56:24"
"247","759","14","対象：男女","東京都 豊島区","湯～ゆランドあずま","銭湯（公衆浴場）","東京都 豊島区 西池袋4-13-9","03-3986-6997","https://www.1010.or.jp/map/item/item-cnt-528","火曜日","月曜日: 15時30分～1時30分\n火曜日: 定休日\n水曜日: 15時30分～1時30分\n木曜日: 15時30分～1時30分\n金曜日: 15時30分～1時30分\n土曜日: 15時30分～1時30分\n日曜日: 14時00分～0時00分","入浴代500円\nサウナ400円\n回数券の料金は据え置き","https://sauna-ikitai.com/saunas/4639","2022/08/09 22:56:27"
"247","811","65","対象：男女","千葉県 袖ケ浦市","天然温泉 湯舞音 袖ケ浦店","温浴施設（スーパー銭湯・サウナ・スパ施設）","千葉県 袖ケ浦市 袖ケ浦駅前1-39-15 ゆりまち袖ケ浦駅前モール内","0438-38-6168","https://yubune-sodegaura.jp/","無休\nメンテナンスにより休業あり","9：00～24時(受付終了23:30\n)","入浴プラン：\n平日880円/休日 980円\nゆったりプラン：\n平日1090円/休日1190円\n岩盤浴プラン：\n平日1330円/休日1480円","https://sauna-ikitai.com/saunas/10243","2022/08/09 22:56:30"
"246","1287","43","対象：男女","兵庫県 尼崎市","蓬川温泉 みずきの湯","温浴施設（スーパー銭湯・サウナ・スパ施設）","兵庫県 尼崎市 蓬川町295-3","06-6411-4126","http://www.mizukinoyu.com/index2.html","-","月曜日: 9時00分～2時00分\n火曜日: 9時00分～2時00分\n水曜日: 9時00分～2時00分\n木曜日: 9時00分～2時00分\n金曜日: 9時00分～2時00分\n土曜日: 9時00分～2時00分\n日曜日: 9時00分～2時00分","入浴+サウナ 750円\n会員証を100円で作れば毎回50円OFF","https://sauna-ikitai.com/saunas/3061","2022/08/09 22:56:33"
"246","442","50","男性専用","大阪府 大阪市","サウナシャン","温浴施設（スーパー銭湯・サウナ・スパ施設）","大阪府 大阪市 淀川区十三本町1-14-13","06-6302-2207","https://sauna-2682.business.site/","月曜日","14：00〜22:45(最終受付21:45)","60分コース900円\n普通コース1700円\n（カプセルホテル及びサウナオールナイトは休止中）","https://sauna-ikitai.com/saunas/3068","2022/08/09 22:56:36"
"245","500","13","対象：男女","東京都 品川区","ピース湯","銭湯（公衆浴場）","東京都 品川区 西大井6-15-16","03-3772-5281","http://www.shinagawa1010.jp/list/peaceyu.html","月曜日(祭日は営業します。)","月曜日: 定休日\n火曜日: 15時30分～0時00分\n水曜日: 15時30分～0時00分\n木曜日: 15時30分～0時00分\n金曜日: 15時30分～0時00分\n土曜日: 15時30分～0時00分\n日曜日: 15時30分～0時00分","入浴料　480円\nサウナ利用料　350円","https://sauna-ikitai.com/saunas/2039","2022/08/09 22:56:40"
"245","629","97","対象：男女","石川県 金沢市","天然温泉 加賀の宝泉 御宿 野乃金沢","ホテル・旅館","石川県 金沢市 下堤町1-1","076-223-5489","https://www.hotespa.net/hotels/nono_kanazawa/","-","-","-","https://sauna-ikitai.com/saunas/11110","2022/08/09 22:56:43"
"245","109","14","対象：男女","静岡県 静岡市","泉サウナ","温浴施設（スーパー銭湯・サウナ・スパ施設）","静岡県 静岡市 駿河区泉町3-22","054-330-8805","https://coubic.com/izumi_sauna","なし","月曜日: 6時00分～0時00分\n火曜日: 6時00分～0時00分\n水曜日: 6時00分～0時00分\n木曜日: 6時00分～0時00分\n金曜日: 6時00分～0時00分\n土曜日: 6時00分～0時00分\n日曜日: 6時00分～0時00分","〜平日〜 90分\n1人　5,000円\n2人　7,000円(1人当たり3,500円)\n3人　9,000円(1人当たり3,000円)\n4人　10,000円(1人当たり2,500円)\n\n〜土日祝〜 90分\n1人　6,000円\n2人　9,000円(1人当たり4,500円)\n3人　10,000円(1人当たり3,340円)\n4人　12,000円(1人当たり3,000円)","https://sauna-ikitai.com/saunas/15859","2022/08/09 22:56:46"
"243","1243","52","対象：男女","新潟県 見附市","みつけ健幸の湯 ほっとぴあ","温浴施設（スーパー銭湯・サウナ・スパ施設）","新潟県 見附市 本町1-4-23","0258-86-1126","http://www.hotpia.jp/","年中無休\n（但し年に数回施設点検による臨時休館あり）","月曜日: 8時00分～23時00分\n火曜日: 8時00分～23時00分\n水曜日: 8時00分～23時00分\n木曜日: 8時00分～23時00分\n金曜日: 8時00分～23時00分\n土曜日: 8時00分～23時00分\n日曜日: 8時00分～23時00分","【平日】\n大人:600円\n65歳以上:500円\n子供（小学生以下）:300円\n【祝日】\n大人:700円\n65歳以上:600円\n子供（小学生以下）:350円\n\n岩盤浴含む利用料金\n大人:1100円（土日祝日1250円）\n65歳以上:900円（土日祝日1050円）\n子供:550円（土日祝日650円）","https://sauna-ikitai.com/saunas/774","2022/08/09 22:56:48"
"243","941","21","男性専用","東京都 新宿区","510グループAKスパ","温浴施設（スーパー銭湯・サウナ・スパ施設）","東京都 新宿区 歌舞伎町2-39-1","03-3208-6667","http://www.capsule510.jp/ak/","-","24時間営業","1時間コース\n1,000円\n3時間コース\n1,400円\n早朝コース（5時〜21時）\n1,900円\nロングコース（15時〜翌昼12時）\n2,500円","https://sauna-ikitai.com/saunas/1807","2022/08/09 22:56:51"
"243","1303","43","対象：男女","滋賀県 大津市","スパリゾート雄琴 あがりゃんせ","温浴施設（スーパー銭湯・サウナ・スパ施設）","滋賀県 大津市 苗鹿3-9-5","077-577-3715","http://www.agaryanse.co.jp/","不定休。","月曜日: 10時00分～22時00分\n火曜日: 10時00分～22時00分\n水曜日: 10時00分～22時00分\n木曜日: 10時00分～22時00分\n金曜日: 10時00分～22時00分\n土曜日: 10時00分～24時00分\n日曜日: 10時00分～22時00分\n祝日前日：10時00分～24時00分","平　　日 大人1,650円（会員1,450円）\n子供　800円\n3歳以下　　　無料\n\n土日・祝 大人1,850円（会員1,650円）\n子供　900円\n3歳以下　　　無料\n\nナイトキャンペーン（19：00以降）　1,200円\n\n(上記各料金には消費税を含みます。また、大人の方は入湯税50円も含みます。)\n\n岩盤浴　ワールドパフォーマンスキャッスルのご利用\n全日　大人無料　※別途ウェア代200円必要です","https://sauna-ikitai.com/saunas/2583","2022/08/09 22:56:55"
"242","371","28","対象：男女","新潟県 南蒲原郡田上町","湯田上温泉 ホテル小柳 (oyanagi)","ホテル・旅館","新潟県 南蒲原郡田上町 大字田上乙1322-1","0256-57-5000","http://www.oyanagi.co.jp/","-","日帰り入浴&サウナ　11：00〜20：30（最終入室19：00）\n宿泊施設ですので日帰り入浴は90分となります。\n宿泊混雑時はお断りする場合がありますので週末などは特にTELにて問合せ下さい。\n宿泊者のサウナ利用は6：00時〜21：00","1300円　利用時間90分\n当館レストランにてランチ利用の場合は入浴料金800円。\n500円割引となりランチ利用が断然お得です！\nタオル・バスタオル　各200円","https://sauna-ikitai.com/saunas/741","2022/08/09 22:56:59"
